,borocode,zip,geometry,longitude,latitude,index_right,PUMA,Shape_Leng,Shape_Area
97,3.0,11201,POINT (-73.99134798814833 40.69568255523745),-73.99134798814833,40.69568255523745,26,4004,73010.0956282,86682052.0213
98,3.0,11216,POINT (-73.94856613670774 40.67537085185231),-73.94856613670774,40.675370851852314,28,4006,42559.3069581,61860727.1531
99,3.0,11212,POINT (-73.90860343294449 40.67152665585844),-73.90860343294449,40.671526655858436,29,4007,44860.7781372,72205366.5338
100,3.0,11206,POINT (-73.93961842135727 40.70455906393867),-73.93961842135727,40.704559063938675,24,4002,44917.4130232,70686985.4608
101,3.0,11236,POINT (-73.89952442124468 40.64220845315574),-73.89952442124468,40.64220845315574,31,4009,368930.937178,343640810.866
102,3.0,11231,POINT (-73.99801906031493 40.68321351533758),-73.99801906031493,40.683213515337584,27,4005,95462.4834828,114514600.094
103,3.0,11238,POINT (-73.9682243828713 40.6723435263365),-73.9682243828713,40.672343526336505,27,4005,95462.4834828,114514600.094
104,3.0,11210,POINT (-73.94763429707129 40.63574014928098),-73.94763429707129,40.63574014928098,37,4015,50007.9713088,81045770.1741
105,3.0,11238,POINT (-73.96603066603613 40.68737909411427),-73.96603066603613,40.68737909411427,26,4004,73010.0956282,86682052.0213
106,3.0,11224,POINT (-73.9860619926265 40.57663777607667),-73.9860619926265,40.57663777607667,40,4018,76220.7229706,96030474.3336
107,3.0,11226,POINT (-73.96596507806375 40.64080354720505),-73.96596507806375,40.640803547205046,37,4015,50007.9713088,81045770.1741
108,3.0,11225,POINT (-73.9481022990789 40.66118930773445),-73.9481022990789,40.661189307734446,33,4011,34953.4245338,47617950.8156
109,3.0,11208,POINT (-73.8740348780572 40.67270747286009),-73.8740348780572,40.67270747286009,30,4008,97558.4670821,164339106.08
110,3.0,11221,POINT (-73.92839866742115 40.69481670002192),-73.92839866742115,40.694816700021924,24,4002,44917.4130232,70686985.4608
111,3.0,11228,POINT (-74.01198852021911 40.61630813697045),-74.0119885202191,40.616308136970446,35,4013,48170.458,107113832.637
112,3.0,11212,POINT (-73.91494061956683 40.65571088473936),-73.91494061956683,40.655710884739364,32,4010,49993.7073847,85916208.8562
113,3.0,11213,POINT (-73.93365084956477 40.66848651013449),-73.93365084956477,40.66848651013449,28,4006,42559.3069581,61860727.1531
114,3.0,11226,POINT (-73.95824218248399 40.6519250810446),-73.95824218248399,40.651925081044595,33,4011,34953.4245338,47617950.8156
115,3.0,11234,POINT (-73.93321325624171 40.61976819625962),-73.93321325624171,40.61976819625962,31,4009,368930.937178,343640810.866
