"B05001_001E","B05001_001M","B05001_002E","B05001_002M","B05001_003E","B05001_003M","B05001_004E","B05001_004M","B05001_005E","B05001_005M","B05001_006E","B05001_006M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!U.S. citizen, born in the United States","Margin of Error!!Total:!!U.S. citizen, born in the United States","Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total:!!U.S. citizen by naturalization","Margin of Error!!Total:!!U.S. citizen by naturalization","Estimate!!Total:!!Not a U.S. citizen","Margin of Error!!Total:!!Not a U.S. citizen","id","Geographic Area Name"
"168359","98","162561","752","352","155","657","172","3401","591","1388","314","7950000US3601207","Erie County (South) PUMA, New York"
"103896","*****","99917","379","490","128","329","122","1280","200","1880","316","7950000US3601300","Livingston & Wyoming Counties PUMA, New York"
"134522","*****","128089","559","1166","282","614","169","2463","362","2190","329","7950000US3601400","Ontario & Yates Counties PUMA, New York"
"119070","*****","115485","368","70","42","724","153","1643","255","1148","185","7950000US3601500","Madison & Cortland Counties PUMA, New York"
"102948","*****","97529","484","2064","348","472","140","1865","251","1018","244","7950000US3601600","Fulton & Montgomery Counties PUMA, New York"
"154859","*****","135574","1072","1183","281","913","255","11473","1006","5716","761","7950000US3601700","Schenectady County--Schenectady City PUMA, New York"
"111387","558","101429","988","506","181","956","240","4501","600","3995","594","7950000US3601801","Saratoga County (South & Central) PUMA, New York"
"117115","558","112826","668","114","63","444","125","2117","289","1614","347","7950000US3601802","Saratoga County (Outer) PUMA, New York"
"159185","*****","149176","559","936","324","815","159","4091","449","4167","451","7950000US3601900","Rensselaer County--Troy City PUMA, New York"
"106720","606","89872","1467","606","191","897","286","7832","836","7513","930","7950000US3602001","Albany County (East Central)--Albany City PUMA, New York"
"200248","606","180484","1286","642","202","927","193","10920","813","7275","695","7950000US3602002","Albany County (Outside Albany City) PUMA, New York"
"107795","*****","99420","584","524","217","802","182","4380","486","2669","424","7950000US3602100","Columbia & Greene Counties PUMA, New York"
"122652","405","110313","801","401","121","587","147","5803","565","5548","653","7950000US3602201","Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York"
"105955","443","102493","656","366","243","420","116","1981","410","695","199","7950000US3602202","Broome (Outer West) & Tioga Counties PUMA, New York"
"106171","164","102232","475","219","99","510","128","1827","255","1383","292","7950000US3602203","Chenango, Delaware & Broome (East) Counties PUMA; New York"
"102642","*****","87764","867","468","178","1123","228","5453","538","7834","699","7950000US3602300","Tompkins County PUMA, New York"
"100621","232","95774","498","214","89","462","153","1946","284","2225","340","7950000US3602401","Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York"
"98616","232","96280","359","99","44","420","138","966","129","851","207","7950000US3602402","Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York"
"123809","*****","120489","267","235","66","453","86","1425","203","1207","163","7950000US3602500","Cattaraugus & Allegany Counties PUMA, New York"
"128496","*****","122745","474","2288","342","573","135","1506","271","1384","317","7950000US3602600","Chautauqua County PUMA, New York"
"108775","150","95465","906","1870","441","1261","380","5595","574","4584","560","7950000US3602701","Sullivan & Ulster (West) Counties PUMA, New York"
"145006","150","132313","809","733","208","1168","259","6140","606","4652","583","7950000US3602702","Ulster County (East) PUMA, New York"
"125452","88","112654","959","498","144","1182","238","6364","554","4754","602","7950000US3602801","Dutchess County (North & East) PUMA, New York"
"168302","88","142922","1478","1462","262","1342","312","13589","1103","8987","838","7950000US3602802","Dutchess County (Southwest) PUMA, New York"
"122777","90","103827","1043","2396","446","942","274","8741","923","6871","773","7950000US3602901","Orange County (Northeast)--Greater Newburgh City PUMA, New York"
"124728","102","106489","1105","2651","456","2958","982","7704","829","4926","628","7950000US3602902","Orange County (Northwest) PUMA, New York"
"132580","60","117150","959","1037","252","1678","376","8899","726","3816","474","7950000US3602903","Orange County (Southeast) PUMA, New York"
"105295","797","78487","1240","1803","334","1228","364","15410","999","8367","799","7950000US3603001","Rockland County (North)--New City & Congers PUMA, New York"
"105407","1032","82836","1342","572","224","1807","351","13180","839","7012","932","7950000US3603002","Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York"
"113720","586","86077","1277","526","152","3186","486","11502","804","12429","1102","7950000US3603003","Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York"
"101829","225","86929","944","609","142","1033","281","8272","672","4986","541","7950000US3603101","Putnam County PUMA, New York"
"149113","58","113020","1507","1419","325","2024","370","17171","1138","15479","1329","7950000US3603102","Westchester County (Northwest) PUMA, New York"
"136735","224","112455","1323","655","190","1618","289","13402","890","8605","1016","7950000US3603103","Westchester County (Northeast) PUMA, New York"
"120220","54","85324","1379","599","239","1682","324","15017","1154","17598","1550","7950000US3603104","Westchester County (Southeast) PUMA, New York"
"167356","86","121557","1685","814","233","2478","431","23837","926","18670","1471","7950000US3603105","Westchester County (Central)--White Plains City PUMA, New York"
"199968","61","128775","2019","4702","620","3747","512","38456","1413","24288","1488","7950000US3603106","Westchester County (Southwest)--Yonkers City PUMA, New York"
"192456","41","133343","2235","1676","344","3014","575","30042","1167","24381","1829","7950000US3603107","Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York"
"114143","1016","83317","1281","197","106","1895","377","20198","943","8536","872","7950000US3603201","Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York"
"112823","1232","88282","1617","450","199","1019","201","14917","792","8155","947","7950000US3603202","Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York"
"104021","1463","77554","1605","154","90","1117","364","16834","942","8362","1015","7950000US3603203","Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York"
"116388","1012","75497","1398","420","141","1595","295","25054","1190","13822","1152","7950000US3603204","Nassau County (West Central)--North Hempstead Town (South) PUMA, New York"
"119657","1842","85839","1575","655","196","1283","261","22458","1148","9422","1010","7950000US3603205","Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York"
